GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shortUrl-server,shorturl.server.server.application.cache,CacheConfig,0,13,0,0,0,6,0,2,0,2
shortUrl-server,shorturl.server.server.application.filter,LimitQPSFilter,20,21,1,1,9,6,3,3,2,3
shortUrl-server,shorturl.server.server.application.filter,IpFilter,21,23,1,1,9,7,3,3,2,3
shortUrl-server,shorturl.server.server.application.controller,ShortUrlController,95,37,13,5,22,9,12,4,3,4
shortUrl-server,shorturl.server.server.application.threadpool,CommonExecutor.new RejectedExecutionHandler() {...},4,6,0,0,2,1,1,1,1,1
shortUrl-server,shorturl.server.server.application.threadpool,CommonExecutor,5,37,0,0,2,6,1,2,1,2
shortUrl-server,shorturl.server.server.application.util,ConversionUtil,177,0,6,0,31,0,8,0,5,0
shortUrl-server,shorturl.server.server.application.util,IdWorkerInstance,22,0,0,0,3,0,2,0,2,0
shortUrl-server,shorturl.server.server.application.util,DefaultIdWorker,254,0,20,0,49,0,19,0,9,0
shortUrl-server,shorturl.server.server.application.util,IPUtil,45,47,28,6,3,17,18,1,1,1
shortUrl-server,shorturl.server.server.application.exception,ErrorResponse,21,24,0,0,5,5,2,2,2,2
shortUrl-server,shorturl.server.server.application.dto,UrlRequest,233,22,46,0,0,6,31,7,8,7
shortUrl-server,shorturl.server.server.application.dto,UrlResponse,276,0,46,0,14,0,39,0,16,0
shortUrl-server,shorturl.server.server.application.server,DefualtUrlMapServer,54,7,0,0,12,2,2,2,2,2
shortUrl-server,shorturl.server.server.application.handler,UrlMapHandler,133,7,10,0,30,2,8,2,3,2
shortUrl-server,shorturl.server.server.application.handler,StatisticsHandler,12,7,0,0,3,2,2,2,2,2
shortUrl-server,shorturl.server,ShortUrlServerApplication,5,3,0,0,2,1,1,1,1,1
shortUrl-server,shorturl.server.server.application.swagger,Swagger2,0,36,0,0,0,13,0,3,0,3
